date,count,eta
2014-09-09 08:00:00,65.0,0.43
2014-09-09 10:00:00,75.0,0.43
2014-09-09 12:00:00,110.0,0.44
2014-09-09 14:00:00,140.0,0.45
2014-09-09 16:00:00,180.0,0.48
2014-09-09 18:00:00,120.0,0.48
2014-09-09 20:00:00,140.0,0.48
2014-09-09 22:00:00,94.0,0.47
2014-09-10 00:00:00,110.0,0.47
2014-09-10 02:00:00,97.0,0.47
2014-09-10 04:00:00,86.0,0.46
2014-09-10 06:00:00,58.0,0.45
2014-09-10 08:00:00,52.0,0.45
2014-09-10 10:00:00,43.0,0.44
2014-09-10 12:00:00,230.0,0.47
2014-09-10 14:00:00,320.0,0.52
2014-09-10 16:00:00,99.0,0.51
2014-09-10 18:00:00,130.0,0.5
2014-09-10 20:00:00,470.0,0.55
2014-09-10 22:00:00,190.0,0.56
2014-09-11 00:00:00,140.0,0.55
2014-09-11 02:00:00,170.0,0.55
2014-09-11 04:00:00,75.0,0.53
2014-09-11 06:00:00,56.0,0.5
2014-09-11 08:00:00,51.0,0.49
2014-09-11 10:00:00,51.0,0.47
2014-09-11 12:00:00,89.0,0.47
2014-09-11 14:00:00,110.0,0.47
2014-09-11 16:00:00,84.0,0.47
2014-09-11 18:00:00,82.0,0.47
2014-09-11 20:00:00,100.0,0.47
2014-09-11 22:00:00,85.0,0.47
2014-09-12 00:00:00,140.0,0.48
2014-09-12 02:00:00,130.0,0.5
2014-09-12 04:00:00,97.0,0.49
2014-09-12 06:00:00,14.0,0.48
2014-09-12 08:00:00,28.0,0.46
2014-09-12 10:00:00,35.0,0.46
2014-09-12 12:00:00,54.0,0.45
2014-09-12 14:00:00,130.0,0.46
2014-09-12 16:00:00,150.0,0.48
2014-09-12 18:00:00,110.0,0.48
2014-09-12 20:00:00,120.0,0.48
2014-09-12 22:00:00,45.0,0.47
2014-09-13 00:00:00,240.0,0.5
2014-09-13 02:00:00,65.0,0.49
2014-09-13 04:00:00,75.0,0.47
2014-09-13 06:00:00,32.0,0.45
2014-09-13 08:00:00,16.0,0.44
2014-09-13 10:00:00,25.0,0.44
2014-09-13 12:00:00,32.0,0.43
2014-09-13 14:00:00,52.0,0.43
2014-09-13 16:00:00,80.0,0.42
2014-09-13 18:00:00,48.0,0.42
2014-09-13 20:00:00,45.0,0.41
2014-09-13 22:00:00,55.0,0.41
2014-09-14 00:00:00,160.0,0.43
2014-09-14 02:00:00,120.0,0.44
2014-09-14 04:00:00,41.0,0.43
2014-09-14 06:00:00,37.0,0.42
2014-09-14 08:00:00,16.0,0.41
2014-09-14 10:00:00,11.0,0.4
2014-09-14 12:00:00,36.0,0.4
2014-09-14 14:00:00,33.0,0.39
2014-09-14 16:00:00,64.0,0.39
2014-09-14 18:00:00,39.0,0.38
2014-09-14 20:00:00,44.0,0.38
2014-09-14 22:00:00,52.0,0.38
2014-09-15 00:00:00,280.0,0.41
2014-09-15 02:00:00,84.0,0.41
2014-09-15 04:00:00,24.0,0.4
2014-09-15 06:00:00,13.0,0.39
2014-09-15 08:00:00,17.0,0.38
2014-09-15 10:00:00,130.0,0.39
